time,size,AtoB,AtoC,AtoD
44.391,1106,2.7212e-2,2.7219207383e-2,6.1067207383e-2
44.6675,338,2.5676e-2,2.5683660607e-2,5.3387660607e-2
44.752,962,2.6924e-2,2.6928440322e-2,5.9624440322e-2
44.9925,50,3.9931477776e-2,3.9939359892e-2,6.5339359892e-2
45.005,674,2.6348e-2,2.6353490856e-2,5.6745490856e-2
45.1735,530,2.606e-2,2.6068929216e-2,5.5308929216e-2
45.306,1106,7.0020730155e-2,7.002438961e-2,0.10387238961
45.5825,578,2.7928081828e-2,2.7936048397e-2,5.7560048397e-2
45.727,1490,2.798e-2,2.7986113468e-2,6.4906113468e-2
46.0995,722,2.6444e-2,2.6452883109e-2,5.7228883109e-2
46.28,674,2.6348e-2,2.6354819373e-2,5.6746819373e-2
46.4485,1154,2.7308e-2,2.7312958606e-2,6.1544958606e-2
46.737,1250,2.75e-2,2.750223219e-2,6.250223219e-2
47.0495,290,2.558e-2,2.5583307265e-2,5.2903307265e-2
47.122,482,2.5964e-2,2.5973463964e-2,5.4829463964e-2
47.2425,98,2.5196e-2,2.5200722055e-2,5.0984722055e-2
47.267,1298,2.7596e-2,2.7603828423e-2,7.6236003805e-2
47.5915,482,2.5964e-2,2.5966767003e-2,5.4822767003e-2
47.712,1202,2.7404e-2,2.7412806624e-2,6.2028806624e-2
48.0125,98,2.5196e-2,2.5202892831e-2,
48.037,914,2.6828e-2,2.6836116365e-2,5.9148116365e-2
48.2655,530,2.606e-2,2.6066655103e-2,5.5306655103e-2
48.398,962,2.6924e-2,2.6926605552e-2,7.0696808618e-2
48.6385,770,2.654e-2,2.654790479e-2,5.770790479e-2
48.831,194,2.5388e-2,2.5394791165e-2,5.1946791165e-2
48.8795,674,2.6348e-2,2.635707074e-2,5.674907074e-2
49.048,914,2.6828e-2,2.6834984309e-2,5.9146984309e-2
49.2765,770,2.654e-2,2.6544993354e-2,5.7704993354e-2
49.469,1298,2.7596e-2,2.759897078e-2,6.298297078e-2
49.7935,1490,2.798e-2,2.7987404881e-2,6.4907404881e-2
50.166,1442,2.7884e-2,2.7889041368e-2,6.4425041368e-2
50.5265,1346,2.7692e-2,2.7698031624e-2,6.3466031624e-2
50.863,386,2.5772e-2,2.5777720808e-2,5.3865720808e-2
50.9595,482,2.5964e-2,2.5970706465e-2,5.4826706465e-2
51.08,1298,2.7596e-2,2.7601976291e-2,6.2985976291e-2
51.4045,242,2.5484e-2,2.5488047293e-2,5.2424047293e-2
